timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
31,2024-04-08 11:30:00,Основы программирования,Занятие по основам HTML и CSS было чрезвычайно полезным для понимания структуры веб-страниц.,Нет.,"Предложить курс по продвинутым техникам CSS, включая Flexbox и Grid.",Погружение в JavaScript для интерактивности веб-страниц.,1,0,1
32,2024-04-08 14:00:00,Основы программирования,Подробный разбор циклов и условных операторов в JavaScript помог укрепить мои знания.,Нет.,Ввести более сложные задачи для практики после вебинара.,Асинхронное программирование в JavaScript и его применение в реальных проектах.,1,0,1
33,2024-04-08 14:00:00,Основы программирования,"Отличное объяснение переменных, типов данных и структур в Python.",Нет.,Предложить дополнительные учебные материалы для глубокого изучения каждой темы.,Глубокое изучение функционального программирования.,1,0,1
34,2024-04-08 14:30:00,Основы программирования,"Дискуссия о том, как писать код одной рукой, была неожиданно увлекательной.","Нет, это было странно интересно.","Может быть, курс по печати ногами для разнообразия?",Как писать код левой пяткой.,0,0,0
35,2024-04-08 14:45:00,Основы программирования,"Отличное введение в основы SQL, особенно работа с JOIN-операциями.","Да, сложности с пониманием внешних и внутренних соединений.",Предложить более подробные учебные ресурсы и примеры запросов для практики.,Оптимизация запросов SQL и анализ производительности баз данных.,1,0,1
36,2024-04-09 17:30:00,Продвинутые техники программирования,Сессия по оптимизации производительности веб-приложений дала мне новые инструменты для работы.,"Да, концепты кэширования данных были сложными.",Углубить тему кэширования и состояния сессии в отдельном вебинаре.,Работа с большими данными и их хранение.,1,1,1
37,2024-04-09 19:00:00,Продвинутые техники программирования,"Затронута тема безопасности приложений, что крайне важно.",Сложности с пониманием криптографических методов.,Добавить примеры на кейсах из жизни.,Кибербезопасность.,1,1,1
38,2024-04-10 16:00:00,Основы программирования,"Отличное объяснение темы циклов и условий, всё стало на свои места.","Да, сложно было понять тему рекурсии.",Хотелось бы больше практических заданий по каждой теме.,Глубже изучить тему работы с базами данных.,1,0,1
39,2024-04-10 16:00:00,Продвинутые техники программирования,"Разбор примеров рефакторинга кода был очень практичным и полезным для понимания, как улучшить существующий код.",Некоторые сложные примеры рефакторинга.,Углубить материал с дополнительными кейс-стади из реальных проектов.,Методы оптимизации производительности приложений.,1,1,1
40,2024-04-10 17:00:00,Продвинутые техники программирования,"Очень ценно было изучить интеграцию API в большие системы, использование RESTful и GraphQL.","Да, работа с GraphQL была сложнее, чем ожидалось.","Провести серию практических вебинаров, специально посвященных GraphQL.","Безопасность API, управление доступом и ограничения скорости запросов.",1,1,1
41,2024-04-10 17:30:00,Новейшие тенденции в IT,Интересное обсуждение применения искусственного интеллекта в нетехнических отраслях.,"Да, были трудности с пониманием нейросетей.",Уделить больше времени основам нейросетей перед их применением.,Машинное обучение и его применение в реальных условиях.,1,2,1
42,2024-04-10 18:20:00,Продвинутые техники программирования,Глубокое погружение в архитектуру REST и SOAP интерфейсов было крайне полезным для моих проектов.,Нет.,Организовать практические лаборатории по созданию и тестированию API.,Безопасность API и использование OAuth 2.0.,1,1,1
43,2024-04-10 19:00:00,Продвинутые техники программирования,Глубокий анализ принципов SOLID и их применение в объектно-ориентированном проектировании был великолепен.,"Да, примеры на C# были запутанными.",Организовать дополнительные сессии по практическому применению SOLID в различных языках программирования.,Глубокое изучение паттернов проектирования и рефакторинга существующего кода.,1,1,1
44,2024-04-10 19:45:00,Продвинутые техники программирования,"Презентация была настолько монотонной, что я научился рисовать слонов.","Да, как правильно рисовать уши слона.","Пожалуй, стоит добавить курс по рисованию к вебинарам, чтобы сохранить внимание слушателей.",Рисование слонов в Photoshop.,0,1,0
45,2024-04-11 15:45:00,Новейшие тенденции в IT,Лекция о влиянии ИИ на автоматизацию рабочих процессов была весьма актуальной.,Нет.,Обсудить более подробно кейсы применения ИИ в разных отраслях.,Применение ИИ для оптимизации клиентского сервиса.,1,2,1
46,2024-04-12 15:00:00,Новейшие тенденции в IT,Дискуссия о будущем искусственного интеллекта и его этических аспектах была особенно привлекательной.,"Да, темы моральных дилемм ИИ требовали более глубокого понимания.","Устроить дебаты или панельную дискуссию с экспертами по этике ИИ, чтобы обсудить эти вопросы подробнее.",Роль ИИ в управлении данными и приватности.,1,2,1
47,2024-04-12 16:30:00,Новейшие тенденции в IT,Обсуждение машинного обучения было особенно интересным.,"Да, темы, связанные с Big Data, остались не до конца ясны.",Углубленный разбор каждой темы.,Технологии Big Data.,1,2,1
48,2024-04-12 17:00:00,Новейшие тенденции в IT,Введение в искусственный интеллект и его влияние на робототехнику было захватывающим и познавательным.,"Да, темы построения нейросетей требовали более детального объяснения.","Провести специализированные вебинары по машинному обучению и нейросетям, с практическими занятиями на реальных данных.",Разработка и применение нейросетей в индустрии развлечений и медиа.,1,2,1
49,2024-04-12 17:00:00,Новейшие тенденции в IT,Доклад о последних инновациях в области искусственного интеллекта и машинного обучения был вдохновляющим.,"Да, сложности с пониманием концепций глубокого обучения.","Провести серию вебинаров, посвященных только машинному обучению, с кейс-стади и примерами из практики.",Применение ИИ в реальных бизнес-задачах.,1,2,1
50,2024-04-12 17:15:00,Новейшие тенденции в IT,"Лектор использовал так много жаргонных слов, что я составил словарь.","Да, пытался понять, что такое ""блокчейн"".","Ввести словарь на каждом вебинаре, чтобы можно было следить за разговором.",Разработка собственного жаргона для внутреннего использования.,0,2,0
51,2024-04-12 17:30:00,Новейшие тенденции в IT,Интерактивная сессия о применении ИИ в финансовом секторе была исчерпывающей и инновационной.,"Да, спецификации алгоритмов машинного обучения.",Организовать более детальные практические занятия по настройке ИИ.,Этические аспекты использования ИИ в финансах.,1,2,1
52,2024-04-13 10:00:00,Основы программирования,"Отличное введение в язык программирования Java, особенно раздел про исключения.",Нет.,Добавить больше задач на практику после каждой темы.,Глубокое изучение многопоточности в Java.,1,0,1
53,2024-04-13 18:00:00,Основы программирования,Ясное объяснение функций и методов в Python помогло мне лучше понять объектно-ориентированное программирование.,Нет.,Разработать интерактивные лабораторные работы для лучшего усвоения материала.,Глубокое изучение Python для научных вычислений.,1,0,1
54,2024-04-13 23:44:52,Знакомство с языком Python,"В теме понравилось, то что обсуждается распространенный среди аналитиков инструмент - Colab",Да такие моменты были. Не были раскрыты следующие темы:1. Что такое Колаб? 2. Описание интерфейса и правил работы с Колаб. 3. Для чего он нужен. 4. Функции Колаб. 5. Библиотеки Колаб. 6. Как открыть Колаб в Вижуал Студио. 7. Как установить модули для открытия Колаб в Вижуал Студио. Это первое что пришло на ум. Кстати не зря вам прислали ссылку на урок. Под уроком есть много комментариев недовольных пользователей.,Рассказать о том о чем я рассказал в предыдущем вопросе: 1. Что такое Колаб? 2. Описание интерфейса и правил работы с Колаб. 3. Для чего он нужен. 4. Функции Колаб. 5. Библиотеки Колаб. 6. Как открыть Колаб в Вижуал Студио. 7. Как установить модули для открытия Колаб в Вижуал Студио.,Библиотеки Колаб,1,1,0
55,2024-04-13 23:50:52,Знакомство с языком Python,Материал доступен,"Я не понимаю, зачем мне python","Я учуст на Frontend разработчика, зачем мне питон? Дайте мне JS",Хочу учить JS,1,1,0
56,2024-04-14 10:00:00,Основы программирования,"Объяснения понятий переменных, типов данных и операторов в Java были ясными и тщательными.",Нет.,Добавить больше упражнений на практическое применение изученных концепций.,Подробное изучение Java для Android-разработки.,1,0,1
57,2024-04-14 11:00:00,Основы программирования,Ясное и прямолинейное объяснение условных операторов и циклов в C++.,Нет.,Включить больше комплексных задач для практических занятий.,Разработка игр на C++.,1,0,1
58,2024-04-14 13:00:00,Основы программирования,Подробный разбор процессов компиляции и интерпретации в различных языках программирования был полезен.,"Да, детали JIT компиляции в Java.",Предложить дополнительные материалы для самостоятельного изучения и видео о внутреннем устройстве компиляторов.,Подробнее о механизмах управления памятью в современных языках.,1,0,1
59,2024-04-14 15:00:00,Основы программирования,Легкость доступа к материалам и их понятность.,"Да, темы алгоритмов требуют больше времени на разбор.",Увеличить продолжительность вебинаров.,Алгоритмы и структуры данных.,1,0,1
60,2024-04-14 15:14:00,Основы программирования,Чипи чипи лувиви,Ламалама,Котик танцует как преподователь,Как научить котика танцевать?,0,2,0
61,2024-04-15 13:00:00,Основы программирования,"Лекция о базах данных SQL была очень информативной, особенно раздел о связях и нормализации.",Нет.,"Улучшить визуальные материалы, добавить больше диаграмм и примеров из реальной жизни.",Глубокое изучение NoSQL баз данных и их использование в больших данных.,1,0,1
62,2024-04-15 13:30:00,Основы программирования,"Обсуждение ошибок кода было таким скучным, что я составил список фильмов к просмотру.","Да, каждый раз, когда слово ""ошибка"" упоминалось.","Может быть, провести кинопоказ вместо следующего вебинара?","Фильмы, которые каждый программист должен видеть.",0,0,0
63,2024-04-15 13:35:00,Основы программирования,"Майкнафт вспомнили, прослезился",Добавьте Херобрина,Херобрииин,МАМААА,0,1,0
64,2024-04-15 14:30:00,Продвинутые техники программирования,Вводная часть о машинном обучении была очень информативной и понятной.,"Нет, материал был представлен доступно.",Хотелось бы уделить больше времени вопросам безопасности при программировании.,Технологии блокчейн и их применение в программировании.,1,1,1
65,2024-04-15 16:00:00,Продвинутые техники программирования,Введение в микросервисы было крайне полезным для понимания современных архитектурных подходов.,"Да, раздел о контейнеризации был сложным.",Провести дополнительный вебинар по Docker и Kubernetes.,Подробности о развертывании приложений в облаке.,1,1,1
66,2024-04-15 19:00:00,Продвинутые техники программирования,Вебинар по агил-методологиям и их применению в проектном управлении был чрезвычайно полезен.,"Да, разбор Scrum и Kanban мог быть более детализированным.",Провести отдельные сессии по каждой агил-методологии с практическими примерами их использования.,Адаптация агил-методологий в крупных организациях.,1,1,1
67,2024-04-16 15:30:00,Продвинутые техники программирования,Изучение техник отладки и профилирования приложений на Java было особенно полезным для улучшения производительности.,Нет.,"Организовать воркшопы, где участники могут применять эти техники на практике под руководством опытных разработчиков.",Углубленное изучение инструментов профилирования и отладки.,1,1,1
68,2024-04-16 18:00:00,Продвинутые техники программирования,Хорошее объяснение принципов проектирования ПО.,Сложности с примерами рефакторинга.,Добавить рабочие листы для отработки материала.,Принципы проектирования интерфейсов.,1,1,1
69,2024-04-16 18:00:00,Продвинутые техники программирования,Разбор использования Docker и Kubernetes для развертывания приложений дал мне ценные знания для работы.,Сложности с настройкой Kubernetes.,"Провести дополнительные сессии, посвященные только Kubernetes, с демонстрацией живого развертывания.",Подробное изучение микросервисной архитектуры.,1,1,1
70,2024-04-16 19:00:00,Продвинутые техники программирования,Сессия по оптимизации SQL запросов была чрезвычайно полезна для улучшения производительности баз данных.,Нет.,Предоставить доступ к онлайн тренажеру для оттачивания навыков написания и оптимизации SQL запросов.,Глубокое понимание индексов и их влияние на производительность.,1,1,1
71,2024-04-17 10:30:00,Новейшие тенденции в IT,Презентация о развитии кибербезопасности и новых методах защиты информации была крайне информативной.,Нет.,"Предложить серию вебинаров, посвященных подробному разбору инструментов защиты данных.",Новые технологии в области защиты персональных данных.,1,2,1
72,2024-04-17 20:00:00,Продвинутые техники программирования,"Сессия по безопасности веб-приложений была не только образовательной, но и очень актуальной.","Да, детали XSS и CSRF атак были сложными для понимания.","Разработать серию вебинаров, посвященных только кибербезопасности, с практическими упражнениями и тестами.",Продвинутые методы защиты данных и инфраструктуры.,1,1,1
73,2024-04-18 11:00:00,Новейшие тенденции в IT,Освещение прогресса в технологии блокчейн и её применения в различных секторах экономики было проницательным.,"Да, объяснения функционирования сетей блокчейн.",Подробнее разбирать техническую сторону блокчейн технологий на примерах успешных проектов.,"Разработка на базе Ethereum, включая создание смарт-контрактов.",1,2,1
74,2024-04-18 12:00:00,Новейшие тенденции в IT,Обсуждение влияния квантовых компьютеров на будущее криптографии было захватывающим.,Сложности с пониманием квантовой физики.,Обеспечить базовый вводный курс по квантовой механике перед этой темой.,Квантовое программирование и его будущее.,1,2,1
75,2024-04-18 15:45:00,Новейшие тенденции в IT,Презентация о влиянии блокчейн технологий на безопасность данных была крайне просветляющей.,"Да, концепты шифрования в блокчейне.","Организовать тематический вебинар о криптографии, используемой в блокчейне.",Разработка смарт-контрактов и их безопасность.,1,2,1
76,2024-04-18 20:00:00,Новейшие тенденции в IT,Введение в технологии распределенных систем и их применение в разных отраслях было захватывающим.,"Да, концепции консенсуса в блокчейне были трудными для понимания.",Организовать технические воркшопы по каждой теме вебинара для глубокого понимания.,Распределенные вычисления и их применение в больших данных.,1,2,1
77,2024-04-19 12:00:00,Основы программирования,Изучение основных принципов создания пользовательских интерфейсов на React было практичным и актуальным.,"Да, сложности с Redux для управления состоянием.",Устроить дополнительные вебинары по Redux и контексту React для глубокого понимания управления состоянием.,Разработка сложных интерактивных веб-приложений на React.,1,0,1
78,2024-04-19 12:02:00,Основы программирования,Ильнар Шафигуллин большой молодец,нет,Чаще ставить преподователя на вебинары,Больше примеров с уточкой,1,2,1
79,2024-04-19 16:00:00,Новейшие тенденции в IT,Обсуждение влияния больших данных на современный маркетинг было очень проницательным.,"Да, вопросы обработки и анализа больших объемов данных были запутанными.","Предложить курсы по аналитике данных с использованием специализированных инструментов, таких как Hadoop или Spark.",Методы визуализации данных для бизнес-анализа.,1,2,1
80,2024-04-19 17:45:00,Новейшие тенденции в IT,Презентация новых технологий в визуализации данных.,Некоторые примеры были слишком сложны для понимания.,"Менее загруженные слайды, больше практики.",Интерактивная визуализация данных.,1,2,1
81,2024-04-20 09:45:00,Основы программирования,Обучение эффективным методам написания чистого кода в Python было крайне полезным для моих проектов.,Нет.,Устроить регулярные сессии код-ревью с опытными разработчиками для обмена опытом и лучшими практиками.,Принципы разработки программного обеспечения по методологии Agile.,1,0,1
82,2024-04-20 09:55:00,Основы программирования,Понравилась харизма преподователя,"нет, не было",Все прошло хорошо,Про алгоритмы интересно и устройство процессора,1,2,1
83,2024-04-20 09:56:00,Основы программирования,Преподователь супер,нет,Преподователь вырулил все недостатки,"Не знаю, дальше по программе обучения двигаться",1,2,1
84,2024-04-20 13:00:00,Основы программирования,"Занятие по алгоритмам сортировки было насыщено множеством практических примеров, что упростило понимание.","Да, быстрая сортировка требовала более тщательного объяснения.",Предложить дополнительные видеоуроки по каждому типу алгоритмов сортировки с подробными примерами кода.,"Продвинутые алгоритмы и структуры данных, такие как деревья и графы.",1,0,1
85,2024-04-20 13:00:00,Основы программирования,Разбор методов коллекций в Java был исключительно полезен для понимания работы со списками и множествами.,"Да, методы Stream API.","Разработать детальный курс по работе с Stream API в Java, включая практические примеры.",Глубокое изучение многопоточности в Java.,1,0,1
86,2024-04-20 15:00:00,Основы программирования,Интерактивный подход преподавателя позволил лучше усвоить информацию.,"Нет, все было понятно.",Хотелось бы более подробные материалы для самостоятельного изучения.,Больше практических задач на алгоритмы.,1,0,1
87,2024-04-21 09:00:00,Основы программирования,Чёткое объяснение парадигмы функционального программирования на примере Scala.,"Да, концепции чистых функций и неизменяемости были запутанными.",Устраивать сессии вопросов и ответов после сложных тем.,Функциональные языки программирования как Haskell.,1,0,1
88,2024-04-21 12:00:00,Основы программирования,"Освежающий подход к изучению JavaScript, особенно в части ES6+ функционала, был весьма стимулирующим.",Нет.,Увеличить количество заданий на кодирование в реальном времени для лучшего усвоения материала.,"Современные фронтенд технологии, такие как React и Angular.",1,0,1
89,2024-04-21 20:30:00,Основы программирования,Задания для самостоятельной работы помогли закрепить материал.,"Да, темы объектно-ориентированного программирования были сложными.",Больше времени на практические упражнения.,Работа с исключениями в программировании.,1,0,1
90,2024-04-21 20:32:00,Основы программирования,Понравилось как он рассказывает,Ха затруднения,Удалите эти эфиры все и займитесь нормальным уже делом,Не надо мне тему,0,2,0
91,2024-04-22 18:30:00,Продвинутые техники программирования,Глубина разбора кейсов из реальной практики.,Некоторые технические термины не были объяснены.,Больше времени уделять базовым концепциям для новичков.,Искусственный интеллект в области здравоохранения.,1,1,1
92,2024-04-22 19:00:00,Новейшие тенденции в IT,Разнообразие примеров из реального мира помогло лучше понять применение теории.,"Да, разбор паттернов проектирования был слишком быстрым.","Меньше теории, больше практики. Сделать вебинары более интерактивными с возможностью задавать вопросы в реальном времени.",Изучение разработки виртуальной и дополненной реальности.,1,2,1
93,2024-04-22 19:02:00,Новейшие тенденции в IT,Преподователь Арбуз,Преподователь красный внутри,Арбуз хочу,"Арбуз я покушать я люблю, семки все я исплюю",0,2,0
94,2024-04-22 19:04:00,Новейшие тенденции в IT,Я не люблю все это,Шли вы,Платити мани мани студентам,как мани поднять,0,1,0
95,2024-04-23 14:00:00,Продвинутые техники программирования,Разбор техник оптимизации кода на C++ был очень глубоким и практичным.,Нет.,Предложить материалы для дополнительного изучения сложных тем.,Оптимизация и производительность программ на низком уровне.,1,1,1
96,2024-04-24 10:00:00,Основы программирования,Примеры реального использования паттернов проектирования в .NET были очень ценными.,Нет.,"Больше времени на анализ кода в примерах, меньше теории.",Паттерны проектирования для микросервисных архитектур.,1,0,1
97,2024-04-24 10:20:00,Основы программирования,Зазнался преподователь,Напыщенный преподователь,Уважение,Вопрос к воспитанию преподователя,1,2,1
98,2024-04-24 10:22:00,Основы программирования,"Преподователь раз такой умный , зачем за гроши работаешь?",Унижение,Уважать студентов и не хамить,К преподователю,1,2,1
99,2024-04-24 18:00:00,Новейшие тенденции в IT,Очень понравилось изучение применения технологий виртуальной реальности в образовании.,"Да, тема разработки контента для VR была недостаточно подробна.",Организовать практические занятия по созданию VR-контента.,Разработка приложений для виртуальной реальности.,1,2,1
100,2024-04-25 20:00:00,Новейшие тенденции в IT,Очень подробный разбор сложных концепций.,Сложности с пониманием асинхронного программирования.,Нужно больше примеров из жизни.,Разработка мобильных приложений.,1,2,0
101,27-04-2024 19:00:00,Java api браузеров,Понравилась тема,"Да, преподователь нес чушь и путался в своих же словах",Поменяйте преподователя,Хотел бы повторить тему Java коллекции,1,2,0
102,27-04-2024 19:00:00,Java api браузеров,Понравился методический вебинар,Преподователь сошел с ума,Я думаю с другим преподователем я получил бы больше знаний,Хочу перепройти вебинар с другим преподователем,1,2,0
0,2024-04-07 09:00:00,Java api браузеров,Практические примеры использования Java-скриптов для взаимодействия с браузером были очень полезными.,Нет,Было бы хорошо добавить больше примеров для разных браузеров и их версий,Углубленное изучение специфических функций каждого браузера,1,0,0
1,2024-04-06 18:00:00,Знакомство с языком Python,"Понравился структурированный подход к обучению, от простых переменных к функциям и модулям","Не совсем, но было бы хорошо добавить больше визуальных объяснений, например, графиков или схем","Включить больше интерактивных элементов, таких как опросы или квесты",Как использовать Python для анализа данных,1,0,0
2,2024-04-05 15:30:00,ChatGPT для обучения,"Интересно узнать, как можно использовать ChatGPT для обучения и решения задач","Было немного сложно понять некоторые технические аспекты, связанные с API",Добавить больше практических примеров и шагов по интеграции ChatGPT в различные приложения,Безопасность и этические соображения при использовании ChatGPT,1,0,0
3,2024-04-04 13:00:00,Новейшие тенденции в IT,Обсуждение метавселенных и их потенциального влияния на будущее технологий было захватывающим,Нет,Включить больше прогнозов и мнений экспертов о будущем метавселенных,Возможности создания и монетизации контента в метавселенных,1,2,0
4,2024-04-03 10:00:00,Управление персоналом,Практические кейсы по мотивации сотрудников были очень полезными,Было бы хорошо добавить больше примеров из разных отраслей,Включить интервью с успешными менеджерами по персоналу,Стратегии удержания талантов в условиях высокой конкуренции,1,1,0
5,2024-04-02 09:00:00,Продвинутые техники программирования,Детальное изучение шаблонов проектирования позволило лучше понять принципы создания масштабируемого кода,Нет,Добавить больше примеров из реальных проектов с открытым кодом,Применение шаблонов проектирования в различных языках программирования,1,1,0
6,2024-04-01 14:30:00,Основы программирования,Понравился понятный язык объяснения сложных концепций,"Было бы хорошо добавить больше визуальных объяснений, например, схем или анимаций",Включить интерактивные задания для лучшего закрепления материала,Введение в алгоритмы и структуры данных,1,0,0
7,2024-04-05 14:00:00,Новейшие тенденции в IT,"Было интересно послушать про облачные технологии, но не хватало практических примеров.","Да, не хватило примеров из реальной жизни.",Добавить больше примеров использования облачных технологий в бизнесе.,Облачные технологии в бизнесе.,1,2,0
8,2024-04-02 11:00:00,Основы программирования,"Лектор говорил слишком быстро, было трудно следить за его мыслью.","Да, темп был слишком быстрым.",Снизить темп лекции.,Основы языка программирования.,1,2,0
9,2024-04-06 14:09:57,Управление персоналом,Не хватило практических советов по управлению командой.,"Да, хотелось бы больше практических советов.",Добавить практические задания.,Управление командой.,1,1,0
10,2024-04-02 18:45:00,Продвинутые техники программирования,"Слишком много теории, не хватало практики.","Да, было мало практических примеров.",Добавить больше практических заданий.,Продвинутые техники программирования.,1,1,0
11,2024-04-04 16:00:00,Продвинутые техники программирования,Было сложно понять некоторые термины.,"Да, некоторые термины были непонятны.",Объяснить термины более подробно.,Продвинутые техники программирования.,1,1,0
